"","term","df","sumsq","meansq","statistic","p.value","p_BH","significant"
"4044","X89420_938.284_11.999_NA;(3S,4R,6aR,6bS,8aS,11R,12R,12aS,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid",6,13.5904850561675,2.26508084269458,2.36902324463756,0.0317530470562253,0.0713893926397628,"Non-significant"
"4045","X78785_562.373_10.08_NA;Betaine Lipid DGCC 16:0",6,13.5885184803208,2.26475308005347,2.36865228005734,0.0317778614939444,0.0714275195804556,"Non-significant"
"4046","X57972_483.322_7.471_NA",6,13.5874166799857,2.26456944666428,2.36844444606118,0.0317917720012224,0.0714411248233105,"Non-significant"
"4047","X87974_581.398_11.5_NA",6,13.5849764541761,2.26416274236268,2.36798415302485,0.0318226006463076,0.0714927316719122,"Non-significant"
"4048","X61320_273.148_7.906_NA",6,13.5832840371127,2.26388067285211,2.36766492505682,0.0318439981713201,0.0715231302800499,"Non-significant"
"4049","X6121_220.133_2.381_NA",6,13.5725179604926,2.26208632674877,2.36563435351133,0.0319804293926204,0.0718118211997296,"Non-significant"
"4050","X37957_318.242_5.362_NA",6,13.5675510353197,2.26125850588662,2.36469763922739,0.0320435550754886,0.071935803147245,"Non-significant"
"4051","X82235_367.247_10.624_NA;2'-Hydroxy-a-naphthoflavone CollisionEnergy:102040",6,13.5666340849597,2.26110568082662,2.36452471736503,0.0320552214591373,0.0719442294511173,"Non-significant"
"4052","X75323_295.19_9.829_NA",6,13.5617486329185,2.26029143881974,2.36360343321195,0.0321174458503877,0.0720660951805836,"Non-significant"
"4053","X74095_394.274_9.666_NA",6,13.556429309207,2.25940488486783,2.36260039269019,0.032185324118672,0.0722005839839541,"Non-significant"
"4054","X79614_284.331_10.263_NA",6,13.5519861044622,2.2586643507437,2.36176260734912,0.0322421247870423,0.0723101624479006,"Non-significant"
"4055","X76901_297.169_9.981_NA",6,13.5474908159668,2.25791513599446,2.36091504718466,0.0322996861796957,0.0724213925390366,"Non-significant"
"4056","X66438_330.227_8.619_NA",6,13.5461347907078,2.25768913178463,2.36065938565215,0.0323170686101048,0.0724425019238345,"Non-significant"
