"","Comparison","Z","P.unadj","P.adj","significant"
"X44373_159.117_5.912_NA","La_Jolla Reefs - Mission_Bay",-4.54390006810602,5.52228454408623e-06,0.000115967975425811,"Significant"
"X45559_297.169_6.025_NA","La_Jolla Reefs - Mission_Bay",-4.54390006810602,5.52228454408625e-06,0.000115967975425811,"Significant"
"X64670_379.211_8.367_NA","La_Jolla Reefs - Mission_Bay",-4.39236134010049,1.12126141087582e-05,0.000117732448141961,"Significant"
"X30205_504.301_4.705_NA","La_Jolla Reefs - Mission_Bay",-4.51449703132883,6.34672111911129e-06,0.000133281143501337,"Significant"
"X27865_460.274_4.507_NA","La_Jolla Reefs - Mission_Bay",-4.48057045043207,7.44438016847246e-06,0.000156331983537922,"Significant"
"X66301_319.19_8.642_NA","La_Jolla Reefs - Mission_Bay",-4.46473804601358,8.01667736267211e-06,0.000168350224616114,"Significant"
"X1985_174.055_0.945_NA","La_Jolla Reefs - Mission_Bay",-4.30415222976892,1.67626377990363e-05,0.000176007696889881,"Significant"
"X48642_417.21_6.376_NA","La_Jolla Reefs - Mission_Bay",-4.44664386953531,8.72222589855341e-06,0.000183166743869622,"Significant"
"X79486_440.313_10.258_NA.Spectral.Match.to.Nonaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-4.44664386953531,8.72222589855344e-06,0.000183166743869622,"Significant"
"X85390_385.273_10.858_NA","La_Jolla Reefs - Mission_Bay",-4.43985855335596,9.00180223904683e-06,0.000189037847019984,"Significant"
"X85047_259.205_10.892_NA.Spectral.Match.to.Sumaresinolic.acid.from.NIST14","La_Jolla Reefs - Mission_Bay",-4.18202084116617,2.88929477113501e-05,0.000202250633979451,"Significant"
"X6985_181.072_2.465_NA","La_Jolla Reefs - Mission_Bay",-4.27248742093194,1.9330446145864e-05,0.000202969684531572,"Significant"
"X59899_483.352_7.715_NA.Spectral.Match.to.Heptapropylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-4.42402614893747,9.68782866643694e-06,0.000203444401995176,"Significant"
"X12027_210.133_3.066_NA","La_Jolla Reefs - Mission_Bay",-4.41724537739185,9.99667237302308e-06,0.000209930119833485,"Significant"
"X21821_474.291_3.841_NA...2R.3R.4R.5R..2..2.4.dioxopyrimidin.1.yl..4.hydroxy.5..hydroxymethyl.oxolan.3.yl..4.hydroxy.2.methoxy.6.methylbenzoate","La_Jolla Reefs - Mission_Bay",-4.41724083275812,9.99688248655616e-06,0.000209934532217679,"Significant"
"X27175_474.29_4.438_NA.Spectral.Match.to.Nonaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-4.41611449019846,1.00490873213624e-05,0.000211030833748609,"Significant"
"X73749_500.277_9.63_NA.PE.22.6.0.0....M.H...C27H45N1O7P1","La_Jolla Reefs - Mission_Bay",-4.26344033269281,2.01303272156485e-05,0.000211368435764309,"Significant"
"X25100_416.249_4.283_NA","La_Jolla Reefs - Mission_Bay",-4.41497906069834,1.01019768053866e-05,0.000212141512913118,"Significant"
"X27392_324.228_4.462_NA","La_Jolla Reefs - Mission_Bay",-4.26118075266665,2.03349680148463e-05,0.000213517164155886,"Significant"
"X54240_269.174_6.992_NA","La_Jolla Reefs - Mission_Bay",-4.25665501651346,2.07508174697508e-05,0.000217883583432384,"Significant"
"X74284_280.263_9.696_NA","La_Jolla Reefs - Mission_Bay",-4.39575625945204,1.1038774752145e-05,0.000231814269795046,"Significant"
"X20278_293.149_3.93_NA","La_Jolla Reefs - Mission_Bay",4.2362990679754,2.27234077039751e-05,0.000238595780891739,"Significant"
"X34198_592.353_5.041_NA","La_Jolla Reefs - Mission_Bay",-4.38783779598093,1.14483102551145e-05,0.000240414515357405,"Significant"
"X47334_375.199_6.22_NA","La_Jolla Reefs - Mission_Bay",-4.38783779598093,1.14483102551145e-05,0.000240414515357405,"Significant"
"X35000_306.034_5.105_NA","La_Jolla Reefs - Mission_Bay",-4.13904286940469,3.48757782894477e-05,0.000244130448026134,"Significant"
"X85126_538.43_10.9_NA","La_Jolla Reefs - Mission_Bay",-4.38444964878346,1.16279373083082e-05,0.000244186683474473,"Significant"
"X70814_470.368_9.287_NA","La_Jolla Reefs - Mission_Bay",-4.38444964878346,1.16279373083082e-05,0.000244186683474473,"Significant"
"X82650_531.33_10.611_NA","La_Jolla Reefs - Mission_Bay",-4.22499238109411,2.38948862010223e-05,0.000250896305110734,"Significant"
"X69954_466.316_9.284_NA","La_Jolla Reefs - Mission_Bay",-4.35617298714395,1.32356188491213e-05,0.000277947995831548,"Significant"
"X80740_485.288_10.38_PG.16.0_0.0....2.hydroxy.3..2.hydroxyacetoxy.propyl.palmitate.PE.16.0.0.0....M.H...C21H45N1O7P1","La_Jolla Reefs - Mission_Bay",-4.35391121508417,1.33729885430032e-05,0.000280832759403067,"Significant"
"X49299_298.164_6.441_NA","La_Jolla Reefs - Mission_Bay",-4.35391121508417,1.33729885430032e-05,0.000280832759403067,"Significant"
"X43754_397.022_5.862_NA","La_Jolla Reefs - Mission_Bay",4.35278256820964,1.34420450449054e-05,0.000282282945943014,"Significant"
"X87246_950.582_11.303_NA.TAG..18.3.18.4.18.5.","La_Jolla Reefs - Mission_Bay",-4.35278256820964,1.34420450449054e-05,0.000282282945943014,"Significant"
"X75943_526.292_9.876_PE.22.6.0.0....M.H...C27H45N1O7P1","La_Jolla Reefs - Mission_Bay",-4.34260235478525,1.40804849907783e-05,0.000295690184806344,"Significant"
