"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_BH","significant"
"X13039_364.212_3.175_NA",-1.03424961426479,-0.344749871421595,0.689499742843191,-6.78127928343852,1.10513296361411e-09,92.4346772847096,-1.3371394122877,-0.731359816241877,"Welch Two Sample t-test","two.sided",5.51172183498601e-09,"Significant"
"X78594_295.19_10.172_NA",0.707618403325238,0.235872801108413,-0.471745602216825,6.55587274581119,1.11132656907205e-09,133.358441012826,0.494129321193345,0.92110748545713,"Welch Two Sample t-test","two.sided",5.53957300767712e-09,"Significant"
"X75882_237.148_9.857_NA",0.700835619477119,0.23361187315904,-0.467223746318079,6.60023167385111,1.11447421748893e-09,122.26912072454,0.49063943400741,0.911031804946827,"Welch Two Sample t-test","two.sided",5.55221895090921e-09,"Significant"
"X89916_504.389_12.194_NA",0.698444511159248,0.232814837053083,-0.465629674106165,6.6075646257202,1.1536270130749e-09,119.133983432534,0.489142901106684,0.907746121211812,"Welch Two Sample t-test","two.sided",5.74412749336087e-09,"Significant"
"X27414_169.122_4.471_NA",-1.20137324239445,-0.400457747464816,0.800915494929631,-7.06855349550431,1.15653861779319e-09,66.8126151240327,-1.5406328463227,-0.862113638466196,"Welch Two Sample t-test","two.sided",5.75547296824067e-09,"Significant"
"X722_306.17_0.65_NA",-0.882370339567261,-0.29412344652242,0.588246893044841,-6.5243982087766,1.15979388678693e-09,139.949120011335,-1.1497511822522,-0.614989496882325,"Welch Two Sample t-test","two.sided",5.76851532749824e-09,"Significant"
"X79873_382.295_10.293_NA",-1.28639799864225,-0.42879933288075,0.857598665761499,-7.21139754871875,1.18065411564977e-09,59.0557546391532,-1.643336523464,-0.929459473820497,"Welch Two Sample t-test","two.sided",5.86905807517097e-09,"Significant"
"X80510_209.117_10.354_NA",0.698728478583819,0.232909492861273,-0.465818985722546,6.59326712271248,1.19217527329125e-09,120.794997241031,0.488917317071878,0.90853964009576,"Welch Two Sample t-test","two.sided",5.9230915763738e-09,"Significant"
"X61053_315.195_7.871_NA",-1.21189771777323,-0.403965905924411,0.807931811848822,-7.07626604498654,1.22149429196448e-09,65.5695935991643,-1.55387586534018,-0.869919570206281,"Welch Two Sample t-test","two.sided",6.06544298336485e-09,"Significant"
"X77055_269.211_9.992_NA;Spectral Match to Pinolenic acid from NIST14",-1.10530752845444,-0.368435842818146,0.736871685636292,-6.88504075314387,1.24942576561488e-09,78.8263707000489,-1.42486045970716,-0.785754597201713,"Welch Two Sample t-test","two.sided",6.20075276253845e-09,"Significant"
"X13073_340.175_3.327_NA",-1.19200983427024,-0.397336611423413,0.794673222846826,-7.03714088769601,1.25020198280146e-09,67.5811029798766,-1.5300570072275,-0.853962661312981,"Welch Two Sample t-test","two.sided",6.20122009145167e-09,"Significant"
