ID1,ID2,EdgeType,Score,Annotation
5923,5926,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
5926,5934,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
5955,5965,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
6009,6016,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
6018,6020,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9823
6033,6036,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
6033,6034,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
6034,6036,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
6057,6059,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
6057,6062,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
6059,6062,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
6065,6071,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
6065,6072,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0268
6067,6074,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
6067,6076,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
6067,6074,MS1 annotation,3.000,[M+Na]+ [2M+2H]2+ dm/z=21.9823
6067,6076,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0265
6071,6072,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
6074,6076,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
6087,6097,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9824
6087,6095,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
6095,6097,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
6113,6118,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
6128,6130,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9830
6128,6133,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9566
6130,6133,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
6173,6179,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0371
6173,6179,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0371
6178,6184,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9828
6178,6183,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0270
6179,6182,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
6183,6184,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
6209,6210,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9542
6221,6223,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9831
6226,6227,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
6231,6235,MS1 annotation,3.000,[2M+2H]2+ [M+Na]+ dm/z=21.9827
6231,6234,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
6234,6235,MS1 annotation,3.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0270
6259,6266,MS1 annotation,2.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9933
6270,6279,MS1 annotation,3.000,[M+Na]+ [2M+H]+ dm/z=695.5569
6273,6274,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
6278,6279,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
6297,6308,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9566
6300,6311,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
6309,6312,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9563
6312,6326,MS1 annotation,3.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0266
6324,6325,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
6355,6357,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
6355,6357,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0267
6357,6359,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9562
6363,6365,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9830
6363,6365,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9830
6392,6393,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
6400,6403,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
6404,6409,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0481
6429,6430,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
6448,6449,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9816
6491,6494,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
6495,6496,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
6496,6497,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
6499,6500,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
6519,6524,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9815
6519,6522,MS1 annotation,3.000,[2M+Na]+ [M+H]+ dm/z=711.4902
6520,6522,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
6520,6522,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9822
