"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"5214_264.204_12.344",35213.695,34721.875,47934.293,32779.594,74707.805,89190.85,20784.389,22325.162,18990.746,24396.04,19145.213,23644.703
"524_265.118_5.001",160249.11,166573.14,173580.31,161546.56,154977.9,161369.52,143837.4,119451.5,127827.69,146087.4,123617.45,131070.91
"468_265.118_4.797",142149.69,178948.42,207518.61,93875.17,88323.54,96196.734,113722.336,69303.91,58122.81,65239.984,103072.49,123635.32
"378_265.119_4.188",444957.8,214339.12,383371.2,54957.824,52057.37,55124.777,230023.5,127539.75,131179.11,55677.633,111587.64,149649.44
"3824_265.142_10.488",314486.5,317128.53,478591.72,522872.38,490187.7,403477.38,277489.3,288127.7,333863.72,339549.4,275160.62,326540.12
"3279_265.142_9.193",106378,95245.83,85488.35,93738.73,77381.59,91967.19,82844.58,82354.64,98211.05,83609.734,85714.81,91345.85
"3644_265.143_10.069",349665.7,334577.34,315482.8,371308.6,409219.56,403152.56,289442.38,256492.12,291191.34,236551.19,274823,246692.06
"3522_265.143_9.755",123949.984,121473.836,131453.47,268861.2,128774.2,144855.66,120148.8,105734.94,117159.836,103876.305,94192.42,93238.22
"460_265.155_4.749",428115.8,443897.88,431276.53,292697.94,277502.94,346973.12,402668.97,405448.25,381334.22,384428.7,386386.62,346747.38
"5004_265.18_12.115",148110.17,117544.7,110815.83,181711.6,101749.69,208889.62,120970.35,94419.35,106539.78,70198.836,87477.73,69191.35
"4866_265.18_11.951",620849.7,514971.06,544682.06,113100.56,134772.9,750885.75,79793.91,458501.56,111899.695,338084.25,443545.34,443711.88
"4920_265.18_12.007",149140.14,110595.625,110588.914,69962.54,135009.31,130939.336,465067.6,103836.5,481276.25,112050.055,102777.58,108437.87
"5132_265.18_12.269",162634.36,247907.6,209933.47,196758.48,279937.28,185697.58,157464.66,129212.125,117243.54,150188.81,118065.195,153918.62
"4339_265.18_11.262",65144.97,331815.8,280060.56,92955.2,50807.773,263152.72,51071.88,74412.45,150545.31,245691.08,70184.33,113278.33
"6013_265.216_13.055",204084.78,210462.2,187403.19,201517.16,253985.53,426940.1,43764.64,42425.82,34013.215,26975.617,34358.676,0
"5796_265.216_12.847",330025.47,336563.84,316337.38,788785.4,834900.9,860065.94,234114.92,208912.98,202389.17,195817.8,214822.44,196345.95
