,metabolite,stats_ID,p,H,dof,stats_p_bh,stats_significant
1214,X11652_199.086_3.028_nan,11652,4.827516217988036e-07,39.87163648455078,6,4.0267685737566265e-05,True
6974,X78606_399.358_10.16_nan;Massbank: Myristamidopropyl betaine|carboxymethyl-dimethyl-[3-(tetradecanoylamino)propyl]azanium,78606,5.093082149454072e-07,39.75323306732139,6,4.209663900257857e-05,True
3389,X45200_428.285_5.991_nan,45200,5.143516256247281e-07,39.7314421889025,6,4.213049531693718e-05,True
8550,X89986_1296.362_12.056_nan;Contaminant vial septum ThermoFisher C5000-44B,89986,6.03368612053315e-07,39.378283767434105,6,4.898060197132804e-05,True
1180,X11171_192.138_3.012_nan,11171,6.76346402599838e-07,39.12547319418866,6,5.394159203892743e-05,True
8920,"X91793_833.24_12.847_nan;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",91793,6.704376152722778e-07,39.14490802352078,6,5.394159203892743e-05,True
8670,X90572_1295.364_12.449_nan;Contaminant vial septum ThermoFisher C5000-44B,90572,7.245133931410546e-07,38.97306761094993,6,5.6398195437297515e-05,True
381,X2545_297.108_1.082_nan,2545,7.203391064898457e-07,38.98587067730716,6,5.6398195437297515e-05,True
8360,X89168_871.572_11.876_Pheophytin a;Chlorophyll a,89168,7.257576843558964e-07,38.969265397994604,6,5.6398195437297515e-05,True
2302,X28008_548.327_4.518_nan,28008,7.720163412914536e-07,38.83232592625934,6,5.898464348757896e-05,True
8876,"X91531_981.278_12.699_nan;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",91531,7.713504437237358e-07,38.83423868108997,6,5.898464348757896e-05,True
6392,X73503_325.2_9.562_nan,73503,8.423918167595284e-07,38.6388991201145,6,6.382521998314694e-05,True
3256,X43446_222.112_5.835_nan;Untitled CollisionEnergy:205060,43446,8.552467866717186e-07,38.605310006138666,6,6.401716716982118e-05,True
7480,X83004_277.179_10.65_nan;Octinoxate,83004,8.59007302542695e-07,38.59557889420563,6,6.401716716982118e-05,True
