Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X22723_222.112_4.073_nan,7.422978117418134,78.87569320453026,two-sided,1.1577059762791811e-10,[0.86 1.48],1.3932729515689801,1.484e+09,0.999999999994902,6.615878526920373e-10,True
X18746_289.154_3.691_nan,-6.9284556365226555,150.0897598102286,two-sided,1.1695472110517203e-10,[-1.17 -0.65],1.0002738811387053,1.03e+08,0.9999926086973442,6.679348770654674e-10,True
X711_308.185_0.649_nan,7.042378561827296,123.08831136188091,two-sided,1.1736868156157947e-10,[0.7  1.25],1.0964376071806943,1.886e+08,0.999999602814299,6.698782503188201e-10,True
X89717_505.289_12.09_nan,-7.062344991989764,119.11913089014031,two-sided,1.1832361295838296e-10,[-0.95 -0.53],0.7886359485077532,2.098e+08,0.9986533585983535,6.749048237249799e-10,True
X49759_227.128_6.485_nan,-7.028877366867295,124.11296733306214,two-sided,1.2239088582127218e-10,[-0.95 -0.54],0.7911075950535318,1.755e+08,0.9987205246074586,6.976664162300982e-10,True
X85508_641.42_10.957_nan;Fucoxanthin,7.70584157604819,62.27978783776364,two-sided,1.2487389772298248e-10,[0.97 1.65],1.661538186363251,7.149e+09,1.0,7.113743597101233e-10,True
X68731_375.216_8.987_nan,7.4501509454781925,75.15905360066606,two-sided,1.3045817149964125e-10,[0.87 1.51],1.4337549493613886,1.723e+09,0.9999999999991573,7.427211617249457e-10,True
X71820_253.143_9.404_nan,-6.837363621417818,174.0300861377918,two-sided,1.3112240142743655e-10,[-1.02 -0.56],0.8512510308349969,6.379e+07,0.9996563274123502,7.460355905996577e-10,True
X75705_644.392_9.85_nan,-6.9992261819113155,127.28775298486144,two-sided,1.3140176550820797e-10,[-0.96 -0.53],0.7917294453089607,1.499e+08,0.9987369336709567,7.471575059416052e-10,True
X52947_673.369_6.847_nan,-7.041756552772244,119.01395248297779,two-sided,1.3173349087847367e-10,[-0.95 -0.53],0.786206225127105,1.88e+08,0.9985842061805575,7.485755619169266e-10,True
"X86473_773.497_11.119_nan;Spectral Match to 1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine from NIST14",7.768719388315713,59.00162862029855,two-sided,1.347438211881381e-10,[1.  1.7],1.7420022535033508,1.018e+10,1.0,7.652035117067779e-10,True
X89776_255.137_12.145_nan,7.06028935476046,114.89901479325893,two-sided,1.3532146066922763e-10,[0.72 1.28],1.127998237237662,2.075e+08,0.9999998591160804,7.680041950091246e-10,True
X56676_384.201_7.303_nan,-6.93271680939597,141.29261493825618,two-sided,1.3555772110839154e-10,[-0.97 -0.54],0.8021140357915055,1.054e+08,0.9989839885592834,7.688651280832789e-10,True
X54265_225.148_7.004_nan,-6.826356986555167,175.7094818089102,two-sided,1.3617537293195982e-10,[-1.03 -0.57],0.8568617299843709,6.022e+07,0.9996980628654947,7.718868395868944e-10,True
X85139_369.184_10.896_nan,7.5680396645908115,67.5628068139588,two-sided,1.380822268976638e-10,[0.92 1.59],1.5476630785705,3.31e+09,0.9999999999999962,7.822078547997254e-10,True
X3029_293.113_1.534_nan,7.459696880728365,73.70077169033195,two-sided,1.3820152957038903e-10,[0.88 1.52],1.4508280009116863,1.816e+09,0.9999999999996131,7.823962060111937e-10,True
X57935_302.211_7.463_nan,-7.030935371940909,119.21999399601265,two-sided,1.3834985720580903e-10,[-0.95 -0.53],0.7852536222109762,1.774e+08,0.998556220447427,7.827485387151312e-10,True
X33232_247.133_4.96_nan,7.746987325221738,59.56012489273565,two-sided,1.385182935029919e-10,[1.   1.69],1.7248624923190354,9.009e+09,1.0,7.83214132169902e-10,True
X54281_536.306_7.003_nan,7.756167259233207,59.00254654410293,two-sided,1.4149122106813215e-10,[1.  1.7],1.7391671326330131,9.488e+09,1.0,7.995265270052564e-10,True
X61131_319.226_7.886_nan,7.735179278610351,59.74579892373892,two-sided,1.4238179648369457e-10,[0.99 1.69],1.7182498418264647,8.43e+09,1.0,8.040591885899075e-10,True
